team,games_played,rating_pred
Ohio State,12,84.32143
Georgia,12,76.65381
USC,12,74.41313
Oregon,12,74.25716
Alabama,12,74.00751
Indiana,12,73.91978
Washington,12,73.68121
BYU,12,72.725914
Notre Dame,12,72.32973
Tennessee,12,71.41163
Texas Tech,12,71.24362
Utah,12,70.95874
Texas A&M,12,70.78157
Ole Miss,12,70.50949
Miami,12,70.13567
Vanderbilt,12,68.743034
Missouri,12,68.683685
Penn State,12,67.83433
Auburn,12,67.496216
Arizona,12,67.05988
SMU,12,66.40342
Florida State,12,66.13801
Pittsburgh,12,65.96396
Oklahoma,12,65.72759
Michigan,12,65.49395
Nebraska,12,63.47924
Iowa,12,63.44908
Virginia,12,63.029823
Illinois,12,62.162632
Texas,12,62.119663
Wake Forest,12,61.934647
North Texas,12,61.925663
South Florida,12,61.739204
Louisville,12,61.2904
Clemson,12,60.491966
Houston,12,60.277462
TCU,12,60.11478
Cincinnati,12,59.115448
Georgia Tech,12,59.097702
LSU,12,58.967422
Tulane,12,58.64141
Duke,12,57.767845
Kansas State,12,57.71386
Iowa State,12,57.464676
Navy,11,57.117954
East Carolina,12,56.97936
Arizona State,12,56.488007
James Madison,12,56.43073
Arkansas,12,56.10299
San Diego State,12,55.96136
Northwestern,12,54.70329
South Carolina,12,54.632423
Kansas,12,54.485035
Mississippi State,12,54.116955
Old Dominion,12,53.49686
Air Force,12,53.273228
UCF,12,52.982853
Baylor,12,52.844757
Boise State,12,52.342632
Memphis,12,52.1855
California,12,51.578007
Washington State,12,51.219776
Toledo,12,51.192387
NC State,12,51.143143
Florida,12,50.603523
Kentucky,12,49.9295
New Mexico,12,49.233196
Utah State,12,49.184505
Rutgers,12,48.82332
Michigan State,12,48.685326
Minnesota,12,48.341793
Army,11,48.264893
UTSA,12,48.099995
UNLV,12,47.86908
Virginia Tech,12,47.513996
Maryland,12,47.211075
Boston College,12,47.066147
Louisiana Tech,12,46.922874
Colorado,12,46.75332
Western Kentucky,12,46.402714
Texas State,12,45.828926
Liberty,12,45.266632
Western Michigan,12,45.185585
Kennesaw State,12,44.62762
Hawai'i,12,44.517624
North Carolina,12,44.440556
Wisconsin,12,44.421085
Miami (OH),12,44.417725
Jacksonville State,12,44.167072
Southern Miss,12,43.96162
West Virginia,12,43.754185
Fresno State,12,43.036533
Stanford,12,42.64602
Ohio,12,42.22786
Temple,12,42.159966
Florida International,12,41.934185
UConn,12,41.326576
Central Michigan,12,41.01861
Akron,12,40.5007
UCLA,12,40.334255
South Alabama,12,39.33088
Troy,12,38.66255
Oregon State,12,38.34519
Marshall,12,38.185646
Florida Atlantic,12,37.67646
San José State,12,37.543434
Wyoming,12,37.411655
Arkansas State,12,37.0909
Purdue,12,37.088264
Tulsa,12,37.044704
Buffalo,12,36.562183
Colorado State,12,36.386993
New Mexico State,12,36.029007
Oklahoma State,12,35.41017
Kent State,12,35.251705
Missouri State,12,35.199707
Delaware,12,34.953144
UAB,12,34.459362
Syracuse,12,34.10819
Bowling Green,12,33.85335
Rice,12,33.35634
Eastern Michigan,12,33.255226
Georgia Southern,12,33.203724
Louisiana,12,32.92012
UL Monroe,12,32.904003
Nevada,12,31.238861
Coastal Carolina,12,30.969881
Middle Tennessee,12,30.931604
Georgia State,12,30.61025
Ball State,12,30.461855
Northern Illinois,12,29.929314
Charlotte,12,29.817204
App State,12,29.030758
UTEP,12,25.59268
Massachusetts,12,18.442064
Sam Houston,12,15.001017
